application_no,trademark_name,applicant_name,sido,sigungu,application_date,year,nice_class,nice_class_label,status
40-2026-0100270,하늘전자,새록전자,부산광역시,해운대구,2021-11-14,2021,3,화장품,등록
40-2026-0100271,green,별빛상사,충청북도,청주시 흥덕구,2024-11-14,2024,21,생활용품,등록
40-2026-0100272,nova,다온랩스,서울특별시,서초구,2025-08-01,2025,21,생활용품,등록
40-2026-0100273,다온코스메틱,한빛브루,대전광역시,유성구,2024-12-23,2024,9,전자/소프트웨어,등록
40-2026-0100274,smart,prime컴퍼니,서울특별시,서초구,2025-04-19,2025,25,의류,등록
40-2026-0100275,미르,true베이커리,강원특별자치도,원주시,2025-01-20,2025,44,의료/미용,등록
40-2026-0100276,다온코스메틱,true메디컬,경기도,성남시 분당구,2022-10-17,2022,35,광고업/판매업,등록
40-2026-0100277,solar,urban코리아,경기도,성남시 분당구,2025-12-27,2025,25,의류,등록
40-2026-0100278,푸른,누리상사,인천광역시,남동구,2025-02-18,2025,21,생활용품,거절
40-2026-0100279,다온,smart메디컬,울산광역시,남구,2023-07-25,2023,30,식품,등록
40-2026-0100280,미르전자,다온코스메틱,전북특별자치도,전주시 덕진구,2022-05-09,2022,30,식품,등록
40-2026-0100281,하늘전자,prime코스메틱,대구광역시,수성구,2025-12-03,2025,41,교육/문화,등록
40-2026-0100282,solar코리아,미르스튜디오,부산광역시,해운대구,2025-05-12,2025,44,의료/미용,출원중
40-2026-0100283,smart,이든디자인,부산광역시,부산진구,2021-12-04,2021,35,광고업/판매업,출원중
40-2026-0100284,smart,nova테크,서울특별시,송파구,2021-10-26,2021,3,화장품,등록
40-2026-0100285,smart,한빛물산,서울특별시,마포구,2023-07-09,2023,30,식품,등록
40-2026-0100286,smart,별빛베이커리,서울특별시,종로구,2024-03-20,2024,41,교육/문화,거절
40-2026-0100287,새록상사,third코리아,경기도,용인시 기흥구,2022-08-04,2022,44,의료/미용,출원중
40-2026-0100288,third코스메틱,이든상사,전라남도,여수시,2025-02-23,2025,9,전자/소프트웨어,출원중
40-2026-0100289,green상사,푸른메디컬,전북특별자치도,전주시 덕진구,2022-11-04,2022,30,식품,등록
40-2026-0100290,다솜,solar상사,전북특별자치도,전주시 덕진구,2024-08-21,2024,25,의류,거절
40-2026-0100291,가온,prime코리아,강원특별자치도,원주시,2021-11-14,2021,21,생활용품,등록
40-2026-0100292,다솜,하늘코스메틱,경기도,수원시 영통구,2022-01-05,2022,41,교육/문화,등록
40-2026-0100293,다온,한빛전자,서울특별시,송파구,2024-11-20,2024,9,전자/소프트웨어,등록
40-2026-0100294,하늘상사,urban전자,대구광역시,수성구,2025-01-06,2025,42,IT서비스,등록
40-2026-0100295,다솜메디컬,온새미상사,경기도,성남시 분당구,2024-01-01,2024,30,식품,출원중
40-2026-0100296,third베이커리,별빛상사,대전광역시,유성구,2021-03-22,2021,35,광고업/판매업,등록
40-2026-0100297,이든,미르코리아,경기도,성남시 분당구,2024-05-12,2024,44,의료/미용,등록
40-2026-0100298,nova,한빛F&B,서울특별시,종로구,2025-10-02,2025,44,의료/미용,등록
40-2026-0100299,smart,smart랩스,충청북도,청주시 흥덕구,2022-01-03,2022,44,의료/미용,출원중
40-2026-0100300,미르,nova테크,서울특별시,서초구,2021-01-18,2021,35,광고업/판매업,등록
40-2026-0100301,smart컴퍼니,누리F&B,인천광역시,남동구,2025-10-14,2025,21,생활용품,출원중
40-2026-0100302,solar,smart코스메틱,경기도,성남시 분당구,2024-05-20,2024,35,광고업/판매업,거절
40-2026-0100303,하늘상사,누리테크,대구광역시,수성구,2023-09-15,2023,3,화장품,등록
40-2026-0100304,이든플랫폼,미르컴퍼니,대구광역시,수성구,2024-06-27,2024,3,화장품,등록
40-2026-0100305,온새미,가온베이커리,경기도,수원시 영통구,2025-03-06,2025,21,생활용품,거절
40-2026-0100306,solar스튜디오,prime상사,세종특별자치시,세종시,2022-10-13,2022,9,전자/소프트웨어,등록
40-2026-0100307,푸른컴퍼니,푸른코스메틱,경기도,성남시 분당구,2023-06-04,2023,21,생활용품,출원중
40-2026-0100308,푸른,thirdF&B,서울특별시,영등포구,2023-05-12,2023,3,화장품,거절
40-2026-0100309,true코스메틱,별빛플랫폼,세종특별자치시,세종시,2025-04-18,2025,35,광고업/판매업,등록
40-2026-0100310,이든,nova코스메틱,서울특별시,송파구,2023-08-23,2023,9,전자/소프트웨어,등록
40-2026-0100311,nova물산,다솜컴퍼니,경상남도,창원시 성산구,2024-09-24,2024,21,생활용품,등록
40-2026-0100312,미르,한빛디자인,서울특별시,영등포구,2022-01-07,2022,3,화장품,등록
40-2026-0100313,한빛상사,solar랩스,경기도,수원시 영통구,2022-11-01,2022,42,IT서비스,출원중
40-2026-0100314,미르,nova플랫폼,서울특별시,성동구,2021-09-26,2021,30,식품,등록
40-2026-0100315,가온,smart물산,충청남도,천안시 서북구,2024-04-21,2024,43,요식업,등록
40-2026-0100316,미르디자인,푸른메디컬,대전광역시,유성구,2024-11-14,2024,44,의료/미용,등록
40-2026-0100317,하늘,다솜전자,경기도,수원시 영통구,2024-03-26,2024,42,IT서비스,출원중
40-2026-0100318,green스튜디오,urban베이커리,서울특별시,성동구,2023-02-17,2023,21,생활용품,출원중
40-2026-0100319,새록,다솜브루,서울특별시,강남구,2024-09-24,2024,3,화장품,등록
40-2026-0100320,하늘스튜디오,primeF&B,서울특별시,종로구,2025-05-20,2025,30,식품,출원중
40-2026-0100321,하늘,푸른메디컬,서울특별시,강남구,2023-12-05,2023,9,전자/소프트웨어,거절
40-2026-0100322,한빛F&B,한빛상사,경기도,수원시 영통구,2025-08-03,2025,21,생활용품,등록
40-2026-0100323,다솜,urban코스메틱,경상북도,포항시 남구,2023-12-13,2023,30,식품,등록
40-2026-0100324,이든코리아,greenF&B,서울특별시,중구,2023-11-05,2023,35,광고업/판매업,등록
40-2026-0100325,prime,한빛브루,경기도,부천시,2024-12-17,2024,44,의료/미용,등록
40-2026-0100326,온새미스튜디오,미르스튜디오,서울특별시,영등포구,2023-12-27,2023,43,요식업,등록
40-2026-0100327,한빛물산,green스튜디오,경기도,성남시 분당구,2023-04-18,2023,44,의료/미용,출원중
40-2026-0100328,한빛,하늘스튜디오,충청북도,청주시 흥덕구,2023-09-03,2023,44,의료/미용,등록
40-2026-0100329,prime메디컬,별빛베이커리,경상북도,포항시 남구,2021-05-15,2021,43,요식업,출원중
40-2026-0100330,nova랩스,다온컴퍼니,서울특별시,송파구,2023-01-01,2023,30,식품,출원중
40-2026-0100331,푸른,다온디자인,서울특별시,성동구,2022-12-17,2022,42,IT서비스,등록
40-2026-0100332,urban,solar디자인,강원특별자치도,춘천시,2023-10-27,2023,42,IT서비스,등록
40-2026-0100333,새록메디컬,prime컴퍼니,경상북도,포항시 남구,2023-05-09,2023,3,화장품,출원중
40-2026-0100334,가온브루,푸른물산,서울특별시,강남구,2022-06-24,2022,35,광고업/판매업,등록
40-2026-0100335,green,third디자인,부산광역시,부산진구,2024-09-11,2024,30,식품,출원중
40-2026-0100336,third,third키친,서울특별시,송파구,2025-12-09,2025,25,의류,등록
40-2026-0100337,온새미상사,온새미F&B,부산광역시,해운대구,2024-06-13,2024,9,전자/소프트웨어,거절
40-2026-0100338,새록,true브루,서울특별시,종로구,2023-05-16,2023,43,요식업,등록
40-2026-0100339,새록,다솜물산,경기도,고양시 일산동구,2023-05-19,2023,25,의류,등록
40-2026-0100340,다온F&B,푸른전자,경기도,성남시 분당구,2025-09-26,2025,21,생활용품,출원중
40-2026-0100341,다온,하늘전자,서울특별시,중구,2023-02-24,2023,9,전자/소프트웨어,등록
40-2026-0100342,green코리아,가온랩스,서울특별시,서초구,2021-04-07,2021,35,광고업/판매업,등록
40-2026-0100343,이든,누리메디컬,경상남도,창원시 성산구,2024-06-03,2024,25,의류,출원중
40-2026-0100344,urban,solar상사,서울특별시,서초구,2021-12-11,2021,25,의류,등록
40-2026-0100345,green랩스,다솜상사,서울특별시,송파구,2022-01-15,2022,42,IT서비스,출원중
40-2026-0100346,다솜,nova키친,서울특별시,서초구,2021-12-15,2021,42,IT서비스,소멸
40-2026-0100347,다온,prime상사,부산광역시,해운대구,2024-12-20,2024,25,의류,등록
40-2026-0100348,새록,nova브루,경기도,성남시 분당구,2025-06-19,2025,3,화장품,거절
40-2026-0100349,이든,prime코리아,서울특별시,마포구,2024-04-06,2024,9,전자/소프트웨어,출원중
40-2026-0100350,하늘,prime플랫폼,부산광역시,해운대구,2025-07-02,2025,42,IT서비스,출원중
40-2026-0100351,prime,green물산,대전광역시,유성구,2024-06-28,2024,25,의류,출원중
40-2026-0100352,smart,smart상사,대구광역시,달서구,2023-02-07,2023,35,광고업/판매업,등록
40-2026-0100353,solar,다온메디컬,충청남도,천안시 서북구,2025-02-11,2025,25,의류,등록
40-2026-0100354,smart테크,한빛코스메틱,부산광역시,해운대구,2022-12-28,2022,3,화장품,등록
40-2026-0100355,별빛플랫폼,누리전자,경기도,용인시 기흥구,2025-07-07,2025,44,의료/미용,출원중
40-2026-0100356,solar코리아,하늘랩스,서울특별시,송파구,2025-03-25,2025,43,요식업,등록
40-2026-0100357,하늘물산,누리테크,서울특별시,송파구,2022-04-10,2022,41,교육/문화,등록
40-2026-0100358,다온,가온플랫폼,대구광역시,달서구,2022-06-02,2022,3,화장품,등록
40-2026-0100359,이든전자,온새미테크,충청남도,천안시 서북구,2022-06-14,2022,43,요식업,등록
40-2026-0100360,별빛,가온브루,강원특별자치도,원주시,2021-11-15,2021,30,식품,거절
40-2026-0100361,green,urban키친,부산광역시,부산진구,2021-05-16,2021,43,요식업,출원중
40-2026-0100362,새록,primeF&B,경기도,성남시 분당구,2024-01-15,2024,30,식품,등록
40-2026-0100363,다솜코스메틱,온새미랩스,광주광역시,서구,2024-02-22,2024,9,전자/소프트웨어,출원중
40-2026-0100364,미르,third테크,울산광역시,남구,2021-12-24,2021,25,의류,등록
40-2026-0100365,true메디컬,누리F&B,서울특별시,송파구,2022-11-11,2022,35,광고업/판매업,등록
40-2026-0100366,urban,온새미테크,서울특별시,강남구,2025-09-05,2025,44,의료/미용,소멸
40-2026-0100367,이든,다온랩스,강원특별자치도,춘천시,2025-08-11,2025,41,교육/문화,소멸
40-2026-0100368,이든물산,새록키친,전북특별자치도,전주시 덕진구,2025-05-13,2025,43,요식업,출원중
40-2026-0100369,smart,푸른베이커리,전라남도,여수시,2023-03-14,2023,43,요식업,출원중
40-2026-0100370,하늘,true상사,서울특별시,중구,2024-05-03,2024,41,교육/문화,등록
40-2026-0100371,푸른,새록베이커리,서울특별시,중구,2023-12-06,2023,30,식품,출원중
40-2026-0100372,누리디자인,다온랩스,대구광역시,달서구,2024-11-15,2024,30,식품,등록
40-2026-0100373,새록,true랩스,인천광역시,남동구,2022-02-01,2022,30,식품,등록
40-2026-0100374,가온코스메틱,smart전자,서울특별시,서초구,2023-10-26,2023,3,화장품,등록
40-2026-0100375,prime브루,새록랩스,경기도,고양시 일산동구,2021-08-16,2021,44,의료/미용,거절
40-2026-0100376,한빛,third상사,서울특별시,종로구,2021-03-17,2021,41,교육/문화,출원중
40-2026-0100377,새록키친,true물산,경기도,성남시 분당구,2022-06-23,2022,3,화장품,출원중
40-2026-0100378,다솜베이커리,푸른물산,강원특별자치도,원주시,2022-09-17,2022,3,화장품,등록
40-2026-0100379,한빛랩스,true전자,서울특별시,강남구,2024-02-06,2024,21,생활용품,등록
40-2026-0100380,third,별빛F&B,경기도,수원시 영통구,2025-01-18,2025,42,IT서비스,출원중
40-2026-0100381,third,이든상사,서울특별시,중구,2024-02-21,2024,42,IT서비스,거절
40-2026-0100382,새록코스메틱,가온F&B,대구광역시,수성구,2023-01-08,2023,30,식품,출원중
40-2026-0100383,가온,가온스튜디오,서울특별시,송파구,2022-11-25,2022,35,광고업/판매업,출원중
40-2026-0100384,한빛,nova스튜디오,충청북도,청주시 흥덕구,2021-08-11,2021,42,IT서비스,등록
40-2026-0100385,새록,third베이커리,경상남도,창원시 성산구,2023-10-03,2023,3,화장품,소멸
40-2026-0100386,third,가온키친,경기도,고양시 일산동구,2022-06-27,2022,42,IT서비스,거절
40-2026-0100387,하늘,다솜전자,전북특별자치도,전주시 덕진구,2025-02-04,2025,30,식품,출원중
40-2026-0100388,nova디자인,하늘상사,서울특별시,성동구,2024-10-01,2024,25,의류,등록
40-2026-0100389,prime,푸른메디컬,경기도,수원시 영통구,2022-11-14,2022,30,식품,등록
40-2026-0100390,미르컴퍼니,third메디컬,서울특별시,송파구,2023-12-06,2023,25,의류,거절
40-2026-0100391,온새미브루,한빛디자인,경기도,용인시 기흥구,2021-08-07,2021,21,생활용품,출원중
40-2026-0100392,온새미코스메틱,푸른물산,경기도,성남시 분당구,2025-03-07,2025,30,식품,등록
40-2026-0100393,이든브루,별빛베이커리,서울특별시,강남구,2025-11-18,2025,21,생활용품,등록
40-2026-0100394,한빛컴퍼니,solar전자,경기도,성남시 분당구,2025-10-11,2025,9,전자/소프트웨어,등록
40-2026-0100395,새록,가온전자,부산광역시,해운대구,2025-12-28,2025,25,의류,거절
40-2026-0100396,true,가온F&B,경기도,화성시,2024-01-09,2024,35,광고업/판매업,출원중
40-2026-0100397,true상사,누리키친,전북특별자치도,전주시 덕진구,2024-04-06,2024,44,의료/미용,등록
40-2026-0100398,true브루,green베이커리,서울특별시,마포구,2025-09-25,2025,44,의료/미용,등록
40-2026-0100399,하늘테크,온새미물산,경기도,성남시 분당구,2021-05-08,2021,21,생활용품,등록
40-2026-0100400,true,별빛브루,경기도,고양시 일산동구,2023-03-11,2023,21,생활용품,등록
40-2026-0100401,다온,green메디컬,울산광역시,남구,2023-06-04,2023,9,전자/소프트웨어,출원중
40-2026-0100402,이든플랫폼,푸른디자인,인천광역시,연수구,2022-03-24,2022,25,의류,출원중
40-2026-0100403,이든,third물산,경기도,용인시 기흥구,2024-07-16,2024,30,식품,등록
40-2026-0100404,누리디자인,prime플랫폼,서울특별시,마포구,2025-01-11,2025,30,식품,등록
40-2026-0100405,smart베이커리,온새미컴퍼니,서울특별시,강남구,2025-11-22,2025,43,요식업,출원중
40-2026-0100406,누리코리아,smart코스메틱,서울특별시,마포구,2024-07-18,2024,9,전자/소프트웨어,소멸
40-2026-0100407,미르베이커리,새록코리아,서울특별시,서초구,2025-05-26,2025,21,생활용품,등록
40-2026-0100408,별빛,하늘플랫폼,서울특별시,강남구,2025-09-18,2025,42,IT서비스,출원중
40-2026-0100409,prime베이커리,이든디자인,경기도,성남시 분당구,2025-03-10,2025,30,식품,출원중
40-2026-0100410,가온플랫폼,smart브루,서울특별시,강남구,2023-05-13,2023,42,IT서비스,등록
40-2026-0100411,온새미코리아,true물산,경상북도,포항시 남구,2021-10-17,2021,41,교육/문화,등록
40-2026-0100412,smart,solar키친,경기도,용인시 기흥구,2023-11-11,2023,41,교육/문화,등록
40-2026-0100413,한빛베이커리,푸른코스메틱,서울특별시,마포구,2025-02-03,2025,30,식품,등록
40-2026-0100414,smart베이커리,별빛상사,서울특별시,강남구,2023-08-03,2023,21,생활용품,등록
40-2026-0100415,별빛,새록테크,서울특별시,성동구,2025-11-04,2025,30,식품,등록
40-2026-0100416,third디자인,이든코리아,서울특별시,마포구,2025-08-19,2025,9,전자/소프트웨어,등록
40-2026-0100417,이든전자,다온메디컬,대구광역시,수성구,2022-12-12,2022,43,요식업,출원중
40-2026-0100418,third,다솜메디컬,서울특별시,강남구,2021-12-26,2021,3,화장품,출원중
40-2026-0100419,다솜,solar코리아,서울특별시,송파구,2023-01-24,2023,3,화장품,등록
40-2026-0100420,prime,누리상사,경기도,화성시,2024-09-04,2024,21,생활용품,출원중
40-2026-0100421,nova,이든컴퍼니,서울특별시,중구,2022-09-23,2022,21,생활용품,소멸
40-2026-0100422,smart키친,urban스튜디오,서울특별시,성동구,2023-09-15,2023,3,화장품,출원중
40-2026-0100423,true,prime테크,서울특별시,송파구,2023-08-12,2023,25,의류,출원중
40-2026-0100424,별빛브루,greenF&B,울산광역시,남구,2022-11-21,2022,43,요식업,출원중
40-2026-0100425,third플랫폼,true코스메틱,서울특별시,영등포구,2024-12-19,2024,41,교육/문화,등록
40-2026-0100426,third전자,새록플랫폼,광주광역시,서구,2025-01-18,2025,42,IT서비스,등록
40-2026-0100427,하늘,true메디컬,서울특별시,성동구,2025-05-17,2025,25,의류,등록
40-2026-0100428,별빛,true전자,울산광역시,남구,2021-03-22,2021,44,의료/미용,등록
40-2026-0100429,다온스튜디오,별빛컴퍼니,부산광역시,부산진구,2023-07-24,2023,3,화장품,출원중
40-2026-0100430,다온키친,푸른브루,서울특별시,마포구,2023-02-18,2023,42,IT서비스,출원중
40-2026-0100431,nova테크,가온코스메틱,서울특별시,중구,2021-05-14,2021,43,요식업,출원중
40-2026-0100432,미르물산,새록코리아,대구광역시,달서구,2021-02-12,2021,21,생활용품,등록
40-2026-0100433,third스튜디오,별빛메디컬,서울특별시,영등포구,2024-05-11,2024,43,요식업,출원중
40-2026-0100434,한빛스튜디오,푸른플랫폼,광주광역시,서구,2022-06-17,2022,43,요식업,등록
40-2026-0100435,이든스튜디오,미르상사,광주광역시,서구,2024-04-25,2024,44,의료/미용,등록
40-2026-0100436,별빛브루,온새미코스메틱,인천광역시,남동구,2023-01-23,2023,25,의류,등록
40-2026-0100437,하늘베이커리,다온코스메틱,서울특별시,마포구,2025-09-24,2025,35,광고업/판매업,등록
40-2026-0100438,prime랩스,smart상사,서울특별시,성동구,2022-04-27,2022,21,생활용품,등록
40-2026-0100439,누리전자,한빛코리아,서울특별시,성동구,2021-07-28,2021,30,식품,출원중
40-2026-0100440,가온,미르베이커리,경기도,성남시 분당구,2022-03-10,2022,30,식품,등록
40-2026-0100441,다온코리아,third플랫폼,충청남도,천안시 서북구,2025-06-04,2025,30,식품,등록
40-2026-0100442,한빛,온새미랩스,충청북도,청주시 흥덕구,2023-03-08,2023,42,IT서비스,등록
40-2026-0100443,green코리아,green물산,경기도,성남시 분당구,2024-12-20,2024,30,식품,출원중
40-2026-0100444,온새미,이든상사,경기도,성남시 분당구,2022-10-19,2022,21,생활용품,거절
40-2026-0100445,한빛브루,green코리아,경상남도,창원시 성산구,2025-10-25,2025,44,의료/미용,등록
40-2026-0100446,하늘,별빛베이커리,서울특별시,서초구,2025-07-06,2025,30,식품,등록
40-2026-0100447,다온메디컬,온새미키친,서울특별시,강남구,2022-08-28,2022,3,화장품,등록
40-2026-0100448,새록,누리코리아,서울특별시,마포구,2024-09-03,2024,35,광고업/판매업,소멸
40-2026-0100449,다온,누리브루,충청남도,천안시 서북구,2025-09-21,2025,42,IT서비스,출원중
40-2026-0100450,하늘베이커리,새록스튜디오,전라남도,여수시,2024-04-06,2024,44,의료/미용,거절
40-2026-0100451,한빛,smart플랫폼,서울특별시,성동구,2023-04-03,2023,9,전자/소프트웨어,출원중
40-2026-0100452,third,미르상사,세종특별자치시,세종시,2021-10-08,2021,41,교육/문화,출원중
40-2026-0100453,이든키친,새록테크,서울특별시,서초구,2023-06-04,2023,25,의류,출원중
40-2026-0100454,smart베이커리,third전자,서울특별시,마포구,2024-04-13,2024,41,교육/문화,등록
40-2026-0100455,다온,prime상사,서울특별시,종로구,2021-06-24,2021,42,IT서비스,등록
40-2026-0100456,이든랩스,green키친,경기도,성남시 분당구,2024-11-09,2024,3,화장품,등록
40-2026-0100457,solar,별빛스튜디오,서울특별시,서초구,2025-08-01,2025,30,식품,등록
40-2026-0100458,하늘,이든F&B,서울특별시,서초구,2023-09-20,2023,3,화장품,출원중
40-2026-0100459,온새미,urban상사,전북특별자치도,전주시 덕진구,2025-08-11,2025,21,생활용품,소멸
40-2026-0100460,다온,다온플랫폼,제주특별자치도,제주시,2024-03-14,2024,21,생활용품,출원중
40-2026-0100461,온새미,solar베이커리,서울특별시,서초구,2025-01-10,2025,35,광고업/판매업,등록
40-2026-0100462,한빛베이커리,푸른랩스,인천광역시,남동구,2023-04-12,2023,3,화장품,등록
40-2026-0100463,solar,solar테크,경기도,용인시 기흥구,2023-06-07,2023,30,식품,등록
40-2026-0100464,한빛플랫폼,누리키친,서울특별시,강남구,2021-01-08,2021,25,의류,출원중
40-2026-0100465,green,한빛키친,세종특별자치시,세종시,2022-01-06,2022,41,교육/문화,출원중
40-2026-0100466,true상사,가온컴퍼니,인천광역시,남동구,2022-09-09,2022,42,IT서비스,등록
40-2026-0100467,새록,한빛키친,경상남도,창원시 성산구,2024-07-10,2024,44,의료/미용,등록
40-2026-0100468,별빛물산,푸른F&B,서울특별시,강남구,2023-04-03,2023,44,의료/미용,등록
40-2026-0100469,solar코리아,누리컴퍼니,충청남도,천안시 서북구,2024-02-15,2024,25,의류,거절
40-2026-0100470,한빛상사,nova컴퍼니,경기도,성남시 분당구,2024-06-17,2024,42,IT서비스,등록
40-2026-0100471,새록플랫폼,푸른디자인,서울특별시,서초구,2022-07-04,2022,35,광고업/판매업,등록
40-2026-0100472,solar브루,다솜코스메틱,서울특별시,서초구,2023-05-15,2023,30,식품,등록
40-2026-0100473,이든,smart코스메틱,서울특별시,성동구,2021-01-23,2021,25,의류,등록
40-2026-0100474,다솜코리아,smart컴퍼니,서울특별시,강남구,2024-06-04,2024,3,화장품,출원중
40-2026-0100475,urban,greenF&B,경기도,수원시 영통구,2025-02-09,2025,43,요식업,등록
40-2026-0100476,다온,thirdF&B,서울특별시,송파구,2023-07-17,2023,3,화장품,등록
40-2026-0100477,새록,primeF&B,제주특별자치도,제주시,2024-05-09,2024,41,교육/문화,등록
40-2026-0100478,다솜,urban컴퍼니,대전광역시,유성구,2021-01-02,2021,44,의료/미용,등록
40-2026-0100479,하늘,nova테크,경기도,용인시 기흥구,2023-10-24,2023,30,식품,등록
40-2026-0100480,다솜,하늘코리아,울산광역시,남구,2024-05-15,2024,9,전자/소프트웨어,출원중
40-2026-0100481,third,smart키친,경상북도,포항시 남구,2025-07-26,2025,42,IT서비스,등록
40-2026-0100482,새록메디컬,별빛상사,울산광역시,남구,2023-07-13,2023,21,생활용품,출원중
40-2026-0100483,이든디자인,이든코리아,서울특별시,강남구,2021-10-26,2021,41,교육/문화,등록
40-2026-0100484,이든,한빛코스메틱,전라남도,여수시,2025-03-08,2025,35,광고업/판매업,등록
40-2026-0100485,solar디자인,이든브루,서울특별시,송파구,2023-11-24,2023,30,식품,거절
40-2026-0100486,urban코리아,누리랩스,서울특별시,종로구,2024-05-23,2024,42,IT서비스,거절
40-2026-0100487,푸른,미르테크,서울특별시,송파구,2023-11-27,2023,44,의료/미용,출원중
40-2026-0100488,가온F&B,solar디자인,서울특별시,강남구,2021-09-23,2021,43,요식업,등록
40-2026-0100489,이든코스메틱,별빛컴퍼니,제주특별자치도,제주시,2025-04-20,2025,25,의류,출원중
40-2026-0100490,미르,true코리아,서울특별시,종로구,2024-09-04,2024,35,광고업/판매업,등록
40-2026-0100491,누리컴퍼니,green컴퍼니,강원특별자치도,원주시,2024-10-26,2024,21,생활용품,등록
40-2026-0100492,새록코리아,이든브루,서울특별시,강남구,2023-04-13,2023,25,의류,등록
40-2026-0100493,nova키친,prime테크,경기도,성남시 분당구,2023-02-07,2023,43,요식업,소멸
40-2026-0100494,trueF&B,prime메디컬,서울특별시,중구,2024-06-12,2024,42,IT서비스,출원중
40-2026-0100495,이든,온새미베이커리,경기도,수원시 영통구,2025-07-26,2025,42,IT서비스,출원중
40-2026-0100496,third,온새미테크,인천광역시,연수구,2022-11-14,2022,41,교육/문화,등록
40-2026-0100497,nova디자인,가온테크,서울특별시,송파구,2021-12-09,2021,21,생활용품,등록
40-2026-0100498,별빛랩스,nova상사,서울특별시,성동구,2024-04-05,2024,3,화장품,거절
40-2026-0100499,푸른브루,true전자,서울특별시,서초구,2024-02-16,2024,35,광고업/판매업,등록
40-2026-0100500,한빛베이커리,하늘물산,경상남도,창원시 성산구,2025-11-23,2025,42,IT서비스,소멸
40-2026-0100501,가온,새록물산,부산광역시,부산진구,2021-10-16,2021,41,교육/문화,등록
40-2026-0100502,하늘,누리상사,서울특별시,서초구,2025-07-17,2025,43,요식업,등록
40-2026-0100503,true,새록상사,서울특별시,서초구,2024-11-14,2024,30,식품,출원중
40-2026-0100504,third,누리코스메틱,서울특별시,중구,2023-01-05,2023,30,식품,등록
40-2026-0100505,하늘,하늘브루,경기도,용인시 기흥구,2021-10-18,2021,25,의류,등록
40-2026-0100506,하늘랩스,다솜컴퍼니,서울특별시,서초구,2021-11-23,2021,42,IT서비스,등록
40-2026-0100507,별빛테크,미르코리아,인천광역시,연수구,2024-05-21,2024,25,의류,등록
40-2026-0100508,nova,다솜물산,경기도,성남시 분당구,2021-06-07,2021,21,생활용품,출원중
40-2026-0100509,한빛,이든코스메틱,서울특별시,강남구,2023-03-14,2023,3,화장품,거절
40-2026-0100510,새록코스메틱,하늘코리아,서울특별시,마포구,2022-04-05,2022,25,의류,등록
40-2026-0100511,한빛디자인,prime랩스,경기도,성남시 분당구,2022-07-03,2022,35,광고업/판매업,등록
40-2026-0100512,nova메디컬,이든F&B,충청남도,천안시 서북구,2021-12-08,2021,9,전자/소프트웨어,등록
40-2026-0100513,다온,smart코리아,서울특별시,마포구,2023-12-09,2023,9,전자/소프트웨어,등록
40-2026-0100514,하늘,smart컴퍼니,경기도,용인시 기흥구,2024-01-11,2024,43,요식업,등록
40-2026-0100515,green,한빛물산,서울특별시,서초구,2021-11-08,2021,21,생활용품,등록
40-2026-0100516,온새미베이커리,별빛상사,전라남도,여수시,2022-07-08,2022,41,교육/문화,등록
40-2026-0100517,온새미코스메틱,true코스메틱,충청북도,청주시 흥덕구,2021-03-06,2021,9,전자/소프트웨어,소멸
40-2026-0100518,smart디자인,가온베이커리,인천광역시,남동구,2025-10-13,2025,35,광고업/판매업,등록
40-2026-0100519,이든,한빛플랫폼,대전광역시,유성구,2023-11-18,2023,35,광고업/판매업,출원중
40-2026-0100520,누리베이커리,third코리아,서울특별시,강남구,2024-08-22,2024,25,의류,출원중
40-2026-0100521,solar,별빛컴퍼니,경기도,수원시 영통구,2021-03-22,2021,25,의류,등록
40-2026-0100522,미르,이든브루,울산광역시,남구,2022-09-20,2022,41,교육/문화,등록
40-2026-0100523,smart,푸른컴퍼니,경기도,수원시 영통구,2024-05-11,2024,41,교육/문화,출원중
40-2026-0100524,다솜,온새미메디컬,서울특별시,강남구,2021-11-06,2021,43,요식업,등록
40-2026-0100525,새록,prime코스메틱,서울특별시,종로구,2025-03-20,2025,44,의료/미용,소멸
40-2026-0100526,third랩스,새록코리아,전북특별자치도,전주시 덕진구,2024-03-17,2024,42,IT서비스,등록
40-2026-0100527,누리베이커리,푸른코리아,인천광역시,연수구,2023-03-01,2023,35,광고업/판매업,거절
40-2026-0100528,true,누리메디컬,부산광역시,부산진구,2021-04-04,2021,3,화장품,등록
40-2026-0100529,urban,이든디자인,서울특별시,강남구,2025-02-23,2025,30,식품,출원중
40-2026-0100530,nova테크,true메디컬,강원특별자치도,춘천시,2024-02-06,2024,9,전자/소프트웨어,등록
40-2026-0100531,solar,새록코리아,대구광역시,달서구,2022-04-06,2022,21,생활용품,출원중
40-2026-0100532,푸른베이커리,greenF&B,서울특별시,송파구,2022-11-10,2022,21,생활용품,등록
40-2026-0100533,prime디자인,별빛F&B,서울특별시,중구,2023-09-22,2023,44,의료/미용,등록
40-2026-0100534,solar메디컬,green디자인,서울특별시,서초구,2025-05-16,2025,42,IT서비스,등록
40-2026-0100535,다온,별빛전자,서울특별시,송파구,2025-02-25,2025,21,생활용품,등록
40-2026-0100536,third,solar베이커리,충청북도,청주시 흥덕구,2022-12-16,2022,21,생활용품,등록
40-2026-0100537,하늘컴퍼니,누리브루,서울특별시,강남구,2025-09-17,2025,35,광고업/판매업,등록
