지정상품(국문),NICE분류,유사군코드,지정상품(영문)
배스크리스탈,03,"G1201,S120907,S128302",bath crystals
화장용 배스크리스탈,03,"G1201,S120907,S128302",bath crystals for cosmetic use
배스피지,03,"G1201,S120907,S128302",bath fizzies
배스폼,03,"G1201,S120907,S128302",bath foam
배스겔,03,"G1201,S120907,S128302",bath gels
배스허브,03,"G1201,S120907,S128302",bath herbs
비의료용 배스허브,03,"G1201,S120907,S128302","bath herbs, not for medical purposes"
배스밀크,03,"G1201,S120907,S128302",bath milks
목욕용 오일,03,"G1201,S120907,S128302",bath oil
배스오일,03,"G1201,S120907,S128302",bath oils
비의료용 배스오일 및 목욕용 염,03,"G1201,S120907,S128302","bath oils and bath salts, not for medical purposes"
화장용 배스오일,03,"G1201,S120907,S128302",bath oils for cosmetic purposes
배스펄,03,"G1201,S120907,S128302",bath pearls
화장용 배스펄,03,"G1201,S120907,S128302",bath pearls for cosmetic use
목욕용 파우더,03,"G1201,S120907,S128302",bath powder
화장용 목욕파우더,03,"G1201,S120907,S128302",bath powder [cosmetics]
비의료용 입욕제,03,"G1201,S120907,S128302","bath preparations, not for medical purposes"
목욕용 염,03,"G1201,S120907,S128302",bath salts
배스로션,03,"G1201,S120907,S128302",bathing lotions
바디케어용 미용크림,03,"G1201,S120907,S128302",beauty creams for body care
화장용 표백제,03,"G1201,S120907,S128302",bleaching preparations [decolorants] for cosmetic purposes
바디 및 뷰티케어용 화장품,03,"G1201,S120907,S128302",body and beauty care cosmetics
바디밤,03,"G1201,S120907,S128302","body care balms, other than for medical purposes"
화장용 바디버터,03,"G1201,S120907,S128302",body butter for cosmetic use
바디 방취제(향수),03,"G1201,S120907,S128302",body deodorants [perfumery]
바디에멀션,03,"G1201,S120907,S128302",body emulsions
화장용 바디에멀션,03,"G1201,S120907,S128302",body emulsions for cosmetic use
손톱래커(화장품),03,"G1201,S120907,S128302",nail lacquer (cosmetics)
손톱페인트(화장품),03,"G1201,S120907,S128302",nail paint [cosmetics]
손톱광택제 및 손톱광택제거제,03,"G1201,S120907,S128302",nail polish and nail polish remover
매니큐어 밑칠제,03,"G1201,S120907,S128302",nail polish base coat
마감칠용 매니큐어,03,"G1201,S120907,S128302",nail polish top coat
손톱광택제,03,"G1201,S120907,S128302",nail polishes
손톱광택용 파우더,03,"G1201,S120907,S128302",nail polishing powder
손톱강화제,03,"G1201,S120907,S128302",nail strengtheners
화장용 매니큐어,03,"G1201,S120907,S128302",nail varnish for cosmetic purposes
손톱광택 제거제,03,"G1201,S120907,S128302",nail-polish removers
비의료용 립밤,03,"G1201,S120907,S128302",non-medicated lip balms
비의료용 입술보호제,03,"G1201,S120907,S128302",non-medicated lip care preparations
손톱오일,03,"G1201,S120907,S128302",oils for nail
입술용 연필,03,"G1201,S120907,S128302",pencils for the lips
화장용 퍼퓸드 탤컴파우더,03,"G1201,S120907,S128302",perfumed talcum powder for cosmetic use
포마드,03,"G1201,S120907,S128302",pomades
입술용 포마드,03,"G1201,S120907,S128302",pomades for lips
네일젤 제거제,03,"G1201,S120907,S128302",preparations for removing gel nails
프레스트 페이스파우더,03,"G1201,S120907,S128302",pressed face powder
루즈,03,"G1201,S120907,S128302",rouge
루스 페이스 파우더,03,"G1201,S120907,S128302",loose face powders
콤팩트용 고형분,03,"G1201,S120907,S128302",solid powder for compacts [cosmetics]
화장용 스틱포마드,03,"G1201,S120907,S128302",stick pomades for cosmetic use
마사지용 괄사오일,03,"G1201,S120907,S128302",guasha oil for massage
셀룰라이트 감소용 로션,03,"G1201,S120907,S128302",lotions for cellulite reduction
화장용 셀룰라이트 감소용 로션,03,"G1201,S120907,S128302",lotions for cellulite reduction for cosmetic use
바디메이크업 화장품,03,"G1201,S120907,S128302",make-up for the body
마사지용 겔,03,"G1201,S120907,S128302",massage gel
의료용을 제외한 마사지 젤,03,"G1201,S120907,S128302","massage gels, other than for medical purposes"
마사지용 오일,03,"G1201,S120907,S128302",massage oil
마사지 왁스,03,"G1201,S120907,S128302",massage waxes
비의료용 맨톨입욕제,03,"G1201,S120907,S128302","menthol bath preparations, not for medical purposes"
모이스처라이징 바디로션(화장품),03,"G1201,S120907,S128302",moisturising body lotions [cosmetic]
모이스처라이징 로션(화장품),03,"G1201,S120907,S128302",moisturising lotions [cosmetic]
모이스처라이징 스킨로션(화장품),03,"G1201,S120907,S128302",moisturising skin lotions [cosmetic]
모이스처라이저 겔,03,"G1201,S120907,S128302",moisturizer gell
모이스처라이징 크림,03,"G1201,S120907,S128302",moisturizing cream
모이스처라이징 밀크,03,"G1201,S120907,S128302",moisturizing milk
비의료용 땀 방지제,03,"G1201,S120907,S128302",non-medicated antiperspirants
비의료용 목욕파우더,03,"G1201,S120907,S128302",non-medicated bath powders
바디마사지크림,03,"G1201,S120907,S128302",body massage creams
바디밀크,03,"G1201,S120907,S128302",body milk
바디오일,03,"G1201,S120907,S128302",body oils
화장용 바디페인팅,03,"G1201,S120907,S128302",body paintings for cosmetic purposes
바디 파우더,03,"G1201,S120907,S128302",body powder
화장용 바디파우더,03,"G1201,S120907,S128302",body powders for cosmetic use
바디 스크럽,03,"G1201,S120907,S128302",body scrubs
화장용 바디스크럽,03,"G1201,S120907,S128302",body scrubs for cosmetic use
바디스프레이,03,"G1201,S120907,S128302",body sprays
화장용 바디스프레이,03,"G1201,S120907,S128302",body sprays for cosmetic use
인체용 방취제 및 청향제용 바디스프레이,03,"G1201,S120907,S128302",body sprays used as personal deodorants and fragrances
코롱,03,"G1201,S120907,S128302",cologne
코롱워터,03,"G1201,S120907,S128302",cologne water
화장용 목욕염,03,"G1201,S120907,S128302",cosmetic bath salts
화장용 가슴퍼밍제,03,"G1201,S120907,S128302",cosmetic breast firming preparations
선스크린제 함유 화장용 폼,03,"G1201,S120907,S128302",cosmetic foams containing sunscreens
얼굴 자외선 차단용 화장용 페이스트,03,"G1201,S120907,S128302",cosmetic paste for application to the face to counteract glare
스킨용 선스크린 및 선블록제 화장용 패치,03,"G1201,S120907,S128302",cosmetic patches containing sunscreen and sun block for use on the skin
선번방지용 화장품,03,"G1201,S120907,S128302",cosmetic preparations against sunburn
목욕용 화장품,03,"G1201,S120907,S128302",cosmetic preparations for baths
바디케어용 화장품,03,"G1201,S120907,S128302",cosmetic preparations for body care
임신기간 건성피부용 화장품,03,"G1201,S120907,S128302",cosmetic preparations for dry skin during pregnancy
태양광선 피부보호용 화장품,03,"G1201,S120907,S128302",cosmetic preparations for protecting the skin from the sun's rays
체중감량용 화장품,03,"G1201,S120907,S128302",cosmetic preparations for slimming purposes
화장용 선밀크로션,03,"G1201,S120907,S128302",cosmetic sun milk lotions
화장용 선오일,03,"G1201,S120907,S128302",cosmetic sun oils
화장용 자외선차단제,03,"G1201,S120907,S128302",cosmetic sun-protecting preparations
화장용 선스크린제,03,"G1201,S120907,S128302",cosmetic sunscreen preparations
선탠 로션(화장품),03,"G1201,S120907,S128302",cosmetic suntan lotions
마사지용 화장품,03,"G1201,S120907,S128302",cosmetics for massage
스파용 화장품,03,"G1201,S120907,S128302",cosmetics for spa
폼배스,03,"G1201,S120907,S128302",foam bath
바디에센스,03,"G1201,S120907,S128302",body essence
바디 글리터,03,"G1201,S120907,S128302",body glitter
바디로션,03,"G1201,S120907,S128302",body lotion
바디마스크크림,03,"G1201,S120907,S128302",body mask creams
화장용 바디마스크크림,03,"G1201,S120907,S128302",body mask creams for cosmetic use
바디마스크로션,03,"G1201,S120907,S128302",body mask lotions
화장용 바디마스크로션,03,"G1201,S120907,S128302",body mask lotions for cosmetic use
화장용 바디마스크파우더,03,"G1201,S120907,S128302",body mask powders for cosmetic use
인체용 땀 방지제 및 방취제,03,"G1201,S120907,S128302",antiperspirants and deodorants for personal use
화장용 향기요법용 크림,03,"G1201,S120907,S128302",aromatherapy creams (for cosmetic use)
화장용 향기요법용 로션,03,"G1201,S120907,S128302",aromatherapy lotions (for cosmetic use)
화장용 향기요법용 오일,03,"G1201,S120907,S128302",aromatherapy oils (for cosmetic use)
유아용 바디밀크,03,"G1201,S120907,S128302",baby body milks
베이비 크림,03,"G1201,S120907,S128302",non-medicated baby creams
베이럼,03,"G1201,S120907,S128302",bay rums
화장용 베이럼,03,"G1201,S120907,S128302",bay rums for cosmetic use
비의료용 마사지제,03,"G1201,S120907,S128302",non-medicated massage preparations
비의료용 선번예방 및 트리트먼트연고,03,"G1201,S120907,S128302",non-medicated ointments for the prevention and treatment of sunburn
선번완화용 비의료용 제제,03,"G1201,S120907,S128302",non-medicated preparations for the alleviation of sunburn
페이스 및 바디용 비의료용 스크럽,03,"G1201,S120907,S128302",non-medicated scrubs for face and body
스킨용 선스크린 및 선블록제 패치,03,"G1201,S120907,S128302",patches containing sun screen and sun block for use on the skin
프리셰이브크림,03,"G1201,S120907,S128302",pre-shave creams
향기나는 목욕염,03,"G1201,S120907,S128302",scented bathing salts
향기나는 바디용 로션 및 크림,03,"G1201,S120907,S128302",scented body lotions and creams
방향용 바디스프레이,03,"G1201,S120907,S128302",scented body sprays
화장용 해초,03,"G1201,S120907,S128302",seaweed for cosmetology
셀프태닝크림,03,"G1201,S120907,S128302",self-tanning creams
셀프태닝로션(화장품),03,"G1201,S120907,S128302",self-tanning lotions [cosmetic]
화장용 셀프태닝제,03,"G1201,S120907,S128302",self-tanning preparations [cosmetic]
셀프태닝제(화장품),03,"G1201,S120907,S128302",self-tanning preparations [cosmetics]
셰이브크림,03,"G1201,S120907,S128302",shave creams
면도용 밤,03,"G1201,S120907,S128302",shaving balms
셰이빙크림,03,"G1201,S120907,S128302",shaving cream
셰이빙폼,03,"G1201,S120907,S128302",shaving foam
면도용 겔,03,"G1201,S120907,S128302",shaving gel
셰이빙로션,03,"G1201,S120907,S128302",shaving lotions
면도용 제제,03,"G1201,S120907,S128302",shaving preparations
살균성 면도석,03,"G1201,S120907,S128302",shaving stones [astringents]
샤워폼 및 배스폼,03,"G1201,S120907,S128302",shower and bath foam
샤워코롱,03,"G1201,S120907,S128302",after-shower cologne
샤워크림,03,"G1201,S120907,S128302",shower creams
샤워폼,03,"G1201,S120907,S128302",shower foam
샤워겔,03,"G1201,S120907,S128302",shower gel
샤워제,03,"G1201,S120907,S128302",shower preparations
액체 및 고체형태의 피부크림,03,"G1201,S120907,S128302",skin creams in liquid and solid form
화장용 피부유연제,03,"G1201,S120907,S128302",skin emollients for cosmetic use
선탠촉진/강화 또는 확장용 스킨겔,03,"G1201,S120907,S128302","skin gels for accelerating, enhancing or extending tans"
피부광택용 쌀겨(아라이 누카),03,"G1201,S120907,S128302",skin polishing rice bran (arai-nuka)
선블록화장품,03,"G1201,S120907,S128302",sun block [cosmetics]
비의료용 선블록크림,03,"G1201,S120907,S128302",sun block for the skin (not for medicinal use)
화장용 선블록제,03,"G1201,S120907,S128302",sun block preparations for cosmetic use
비의료용 선블록제,03,"G1201,S120907,S128302",sun block preparations (not for medicinal use)
선케어제,03,"G1201,S120907,S128302",sun care preparations
화장용 선케어제,03,"G1201,S120907,S128302",sun care preparations [cosmetics]
화장용 자외선차단오일,03,"G1201,S120907,S128302",sun protection oils [cosmetics]
선스프레이,03,"G1201,S120907,S128302",sun sprays
선블록로션,03,"G1201,S120907,S128302",sun-block lotions
선스크린 크림,03,"G1201,S120907,S128302",sunscreen cream
비의료용 목욕염,03,"G1201,S120907,S128302",non-medicated bath salts
비의료용 기저귀 발진크림,03,"G1201,S120907,S128302",non-medicated diaper rash cream
비의료용 기저귀 발진용 연고 및 로션,03,"G1201,S120907,S128302",non-medicated diaper rash ointments and lotions
비의료용 풋 크림,03,"G1201,S120907,S128302",non-medicated foot creams
비의료용 풋 로션,03,"G1201,S120907,S128302",non-medicated foot lotions
비의료용 풋 소크,03,"G1201,S120907,S128302",non-medicated foot soaks
각질제거제,03,"G1201,S120907,S128302",cuticle removing preparations
인체용 방취제,03,"G1201,S120907,S128302",deodorant for personal use
바디케어용 방취제,03,"G1201,S120907,S128302",deodorants for body care
제모 및 각질제거제,03,"G1201,S120907,S128302",depilatory and exfoliating preparations
제모제(화장품),03,"G1201,S120907,S128302",depilatory products (cosmetics)
각질제거용 바디로션,03,"G1201,S120907,S128302",exfoliant body lotions
각질제거용 화장품,03,"G1201,S120907,S128302",exfoliant cosmetics
각질제거용 크림,03,"G1201,S120907,S128302",exfoliant creams
각질제거용 젤시트(화장용),03,"G1201,S120907,S128302",exfoliant gelsheet for cosmetic purposes
각질제거용 팩,03,"G1201,S120907,S128302",exfoliant packs
각질제거용 파우더,03,"G1201,S120907,S128302",exfoliant powders
각질제거용 화장수,03,"G1201,S120907,S128302",exfoliant toilet waters
종이제 페이스 파우더,03,"G1201,S120907,S128302",face-powder on paper
비의료용 풋파우더,03,"G1201,S120907,S128302","foot powder, non-medicated"
남성용 헤어드레싱,03,"G1201,S120907,S128302",hair dressings for men
모발 염료,03,"G1201,S120907,S128302",hair dyes
모발유연제,03,"G1201,S120907,S128302",hair emollients
화장용 모발유연제,03,"G1201,S120907,S128302",hair emollients for cosmetic use
헤어에센스 미스트,03,"G1201,S120907,S128302",hair essence mists
헤어에센스,03,"G1201,S120907,S128302",hair essences
모발 정착제,03,"G1201,S120907,S128302",hair fixers
모발고정제(헤어스타일링제),03,"G1201,S120907,S128302",hair fixers [hair styling preparations]
모발윤기제,03,"G1201,S120907,S128302",hair frosting preparations
헤어겔,03,"G1201,S120907,S128302",hair gel
헤어겔 및 헤어무스,03,"G1201,S120907,S128302",hair gel and hair mousse
모발 광택제,03,"G1201,S120907,S128302",hair glaze
육모제(의약품은 제외),03,"G1201,S120907,S128302","hair care preparations, not for medical purposes"
헤어래커,03,"G1201,S120907,S128302",hair lacquers
헤어로션,03,"G1201,S120907,S128302",hair lotions
헤어마스카라,03,"G1201,S120907,S128302",hair mascara
헤어마스크,03,"G1201,S120907,S128302",hair masks
모발용 유액,03,"G1201,S120907,S128302",hair milk
헤어모이스처라이저,03,"G1201,S120907,S128302",hair moisturizers
헤어나리셔,03,"G1201,S120907,S128302",hair nourishers
모발용 오일,03,"G1201,S120907,S128302",hair oils
모발용 포마드,03,"G1201,S120907,S128302",hair pomades
화장용 모발포마드,03,"G1201,S120907,S128302",hair pomades for cosmetic use
모발 보호 트리트먼트제,03,"G1201,S120907,S128302",hair preservation treatment preparations
모발 보호용 크림,03,"G1201,S120907,S128302",hair protection creams
모발 보호용 겔,03,"G1201,S120907,S128302",hair protection gels
모발중화제,03,"G1201,S120907,S128302",hair relaxing preparations
헤어스프레이,03,"G1201,S120907,S128302",hair spray
화장용 모발 손질제인 모발안정제,03,"G1201,S120907,S128302",hair stabilizers in the nature of cosmetic hair care preparations
헤어토닉,03,"G1201,S120907,S128302",hair tonic
턱수염용 염료,03,"G1201,S120907,S128302",beard dyes
모발용 표백제,03,"G1201,S120907,S128302",bleaching preparations for the hair
콜드퍼머용액,03,"G1201,S120907,S128302",cold waving solutions
모발탈색제,03,"G1201,S120907,S128302",color-removing preparations for hair
모발 염색제 제거제,03,"G1201,S120907,S128302",colour-removing preparations for hair
모발용 착색제,03,"G1201,S120907,S128302",colouring agents for hair
화장용 염색제,03,"G1201,S120907,S128302",colouring preparations for cosmetic purposes
화장용 헤어드레싱제제,03,"G1201,S120907,S128302",cosmetic hair dressing preparations
화장용 헤어로션,03,"G1201,S120907,S128302",cosmetic hair lotions
화장용 헤어성장방지제,03,"G1201,S120907,S128302",cosmetic hair regrowth inhibiting preparations
모발용 화장품,03,"G1201,S120907,S128302",cosmetic preparations for the hair
두피용 화장품,03,"G1201,S120907,S128302",cosmetics for scalp
비의료용 비듬크림,03,"G1201,S120907,S128302",dandruff creams (not for medical treatment)
비의료용 비듬로션,03,"G1201,S120907,S128302",dandruff lotions (not for medical treatment)
화장용 선케어크림,03,"G1201,S120907,S128302",suncare lotions for cosmetic use
선스크린 로션(화장품),03,"G1201,S120907,S128302",sunscreen lotion (cosmetics)
화장용 선스크린 크림,03,"G1201,S120907,S128302",sunscreen creams for cosmetic use
선스크린젤(화장품),03,"G1201,S120907,S128302",sunscreen gels (cosmetics)
화장용 선스크린 로션,03,"G1201,S120907,S128302",sunscreen lotions for cosmetic use
선스크린 밀크(화장품),03,"G1201,S120907,S128302",sunscreen milk (cosmetics)
선스크린 오일(화장품),03,"G1201,S120907,S128302",sunscreen oil (cosmetics)
선스크린제,03,"G1201,S120907,S128302",sunscreen preparations
화장용 선탠오일,03,"G1201,S120907,S128302",suntan oils for cosmetic purposes
선탠 크림 및 로션,03,"G1201,S120907,S128302",sun-tanning creams and lotions
화장용 선탠제,03,"G1201,S120907,S128302",sun-tanning preparations [cosmetics]
비의료용 선탠크림,03,"G1201,S120907,S128302",tanning creams (not for medicinal use)
선탠겔(화장품),03,"G1201,S120907,S128302",tanning gels [cosmetics]
선탠 오일(화장품),03,"G1201,S120907,S128302",tanning oils [cosmetics]
바디토너,03,"G1201,S120907,S128302",toners for the body
페이스/바디 및 핸드용 토닝로션,03,"G1201,S120907,S128302","toning lotion, for the face, body and hands"
방수 선스크린제,03,"G1201,S120907,S128302",waterproof sunscreen
내수선스크린제,03,"G1201,S120907,S128302",water-resistant sunscreen
헤어케어용 배스오일,03,"G1201,S120907,S128302",bath oils for hair care
파마약,03,"G1201,S120907,S128302",permanent wave preparations
퍼머넌트웨이빙 및 컬링제,03,"G1201,S120907,S128302",permanent waving and curling preparations
퍼머넌트웨이빙로션,03,"G1201,S120907,S128302",permanent waving lotions
모발코팅용 폴리머,03,"G1201,S120907,S128302",polymer for hair coating
화장용 포마드,03,"G1201,S120907,S128302",pomades for cosmetic purposes
모공수축팩(화장품),03,"G1201,S120907,S128302",pores tightening mask packs used as cosmetics
모발 파마 및 세팅제,03,"G1201,S120907,S128302",preparations for perming and setting the hair
햇빛으로부터의 모발보호용 제제,03,"G1201,S120907,S128302",preparations for protecting the hair from the sun
헤어세팅제,03,"G1201,S120907,S128302",preparations for setting hair
모발용 퍼머넌트웨이빙제,03,"G1201,S120907,S128302",preparations for the permanent waving of hair
피부각질제거제,03,"G1201,S120907,S128302",skin exfoliants
모발용 스트레이트제,03,"G1201,S120907,S128302",hair straightening preparations
모발강화 트리트먼트로션,03,"G1201,S120907,S128302",hair strengthening treatment lotions
헤어스타일링 겔,03,"G1201,S120907,S128302",hair styling gel
헤어스타일링용 무스 및 겔,03,"G1201,S120907,S128302",hair styling mousse and gels
헤어스타일링제,03,"G1201,S120907,S128302",hair styling preparations
헤어스타일링 스프레이,03,"G1201,S120907,S128302",hair styling spray
모발용 틴트제,03,"G1201,S120907,S128302",hair tinting preparations
화장용 헤어토닉,03,"G1201,S120907,S128302",hair tonic for cosmetic purposes
모발웨이브 및 모발세팅제,03,"G1201,S120907,S128302",hair waving and hair setting preparations
모발웨이브 및 세팅제,03,"G1201,S120907,S128302",hair waving and setting preparations
모발용 웨이브제,03,"G1201,S120907,S128302",hair waving preparations
헤어왁스,03,"G1201,S120907,S128302",hair wax
모발용 과산화수소,03,"G1201,S120907,S128302",hydrogen peroxide for use on the hair
일본식 모발 고정용 오일,03,"G1201,S120907,S128302",Japanese hair fixing oil
턱수염용 로션,03,"G1201,S120907,S128302",lotions for beards
콧수염용 왁스,03,"G1201,S120907,S128302",moustache wax
파마중화제,03,"G1201,S120907,S128302",neutralizers for permanent waving
비의료용 헤어로션,03,"G1201,S120907,S128302",non-medicated hair lotions
비의료용 헤어회복로션,03,"G1201,S120907,S128302",non-medicated hair restoration lotions
비의료용 두피 트리트먼트크림,03,"G1201,S120907,S128302",non-medicated scalp treatment creams
모발영양제,03,"G1201,S120907,S128302",hair care agents
모발관리용 배스오일,03,"G1201,S120907,S128302",oil baths for hair care
화장용 모발관리용 배스오일,03,"G1201,S120907,S128302",oil baths for hair care for cosmetic use
헤어컨디셔닝 오일,03,"G1201,S120907,S128302",oils for hair conditioning
파마컬링제,03,"G1201,S120907,S128302",permanent curling preparations
파마액,03,"G1201,S120907,S128302",permanent solutions
모발염착제,03,"G1201,S120907,S128302",fixers for hair dyeing
헤어밤,03,"G1201,S120907,S128302",hair balms
헤어발삼,03,"G1201,S120907,S128302",hair balsam
헤어케어크림,03,"G1201,S120907,S128302",hair care creams
헤어케어로션,03,"G1201,S120907,S128302",hair care lotions
헤어케어제,03,"G1201,S120907,S128302",hair care preparations
모발염색제,03,"G1201,S120907,S128302",hair colorants
모발 염색 및 탈색제,03,"G1201,S120907,S128302",hair coloring and hair decolorant preparations
헤어크림,03,"G1201,S120907,S128302",hair creams
화장용 헤어크림,03,"G1201,S120907,S128302",hair creams for cosmetic purposes
모발염색용 헤어크림,03,"G1201,S120907,S128302",hair creams for dying
헤어컬링제,03,"G1201,S120907,S128302",hair curling preparations
피부재생용 화장품,03,"G1201,S120907,S128302",cosmetic preparations for skin renewal
스킨케어용 에어로졸 형태의 화장품,03,"G1201,S120907,S128302",cosmetic products in the form of aerosols for skin care
화장용 루즈,03,"G1201,S120907,S128302",cosmetic rouges
노화억제용 겔,03,"G1201,S120907,S128302",age retardant gel
화장용 노화억제용 겔,03,"G1201,S120907,S128302",age retardant gels for cosmetic use
화장용 노화억제용 로션,03,"G1201,S120907,S128302",age retardant lotions for cosmetic use
화장용 검버섯 감소크림,03,"G1201,S120907,S128302",age spot reducing creams for cosmetic use
화장용 아몬드유,03,"G1201,S120907,S128302",almond milk for cosmetic purposes
화장용 알로에베라제,03,"G1201,S120907,S128302",aloe vera preparations for cosmetic purposes
노화방지용 화장품,03,"G1201,S120907,S128302",anti-aging cosmetic preparations
노화방지크림,03,"G1201,S120907,S128302",anti-aging cream
화장용 노화방지크림,03,"G1201,S120907,S128302",anti-aging creams for cosmetic use
주근깨개선 크림,03,"G1201,S120907,S128302",anti-freckle creams
화장용 주근깨 방지용 크림,03,"G1201,S120907,S128302",anti-freckle creams for cosmetic use
주름개선 크림,03,"G1201,S120907,S128302",anti-wrinkle creams
화장용 주름방지 크림,03,"G1201,S120907,S128302",anti-wrinkle creams for cosmetic use
화장용 스킨케어로션,03,"G1201,S120907,S128302",cosmetic skin care lotions
화장용 스킨프레시너,03,"G1201,S120907,S128302",cosmetic skin fresheners
화장품,03,"G1201,S120907,S128302",cosmetics
비타민 함유 화장품,03,"G1201,S120907,S128302",cosmetics containing vitamin
브론징용 화장품,03,"G1201,S120907,S128302",cosmetics for bronzing
골프용 화장품,03,"G1201,S120907,S128302",cosmetics for golf
등산용 화장품,03,"G1201,S120907,S128302",cosmetics for hiking
인체용 화장품,03,"G1201,S120907,S128302",cosmetics for personal use
스킨용 화장품,03,"G1201,S120907,S128302",cosmetics for use on the skin
로션 형태의 화장품,03,"G1201,S120907,S128302",cosmetics in the form of lotions
유액/로션 및 에멀션 형태의 화장품,03,"G1201,S120907,S128302","cosmetics in the form of milks, lotions and emulsions"
천연화장품,03,"G1201,S120907,S128302",cosmetics using natural substances
피부미백크림,03,"G1201,S120907,S128302",cream for whitening the skin
큐티클 컨디셔너,03,"G1201,S120907,S128302",cuticle conditioners
큐티클크림,03,"G1201,S120907,S128302",cuticle cream
큐티클오일,03,"G1201,S120907,S128302",cuticle oils
화장용 큐티클제거제,03,"G1201,S120907,S128302",cuticle removing preparations for cosmetic use
큐티클연화제,03,"G1201,S120907,S128302",cuticle softeners
오데코롱,03,"G1201,S120907,S128302",eau de cologne
화장용 눈습포제,03,"G1201,S120907,S128302",eye compresses for cosmetic purposes
아이크림,03,"G1201,S120907,S128302",eye cream
아이겔,03,"G1201,S120907,S128302",eye gels
아이로션,03,"G1201,S120907,S128302",eye lotions
아이메이크업 리무버,03,"G1201,S120907,S128302",eye make-up removers
화장용 수렴제,03,"G1201,S120907,S128302",astringents for cosmetic purposes
화장용 베이비 파우더,03,"G1201,S120907,S128302",baby powder [toiletries]
뷰티밤크림,03,"G1201,S120907,S128302",beauty balm creams
미용크림,03,"G1201,S120907,S128302",beauty creams
화장용 겔,03,"G1201,S120907,S128302",beauty gels
미용액,03,"G1201,S120907,S128302",beauty liquid
뷰티로션,03,"G1201,S120907,S128302",beauty lotions
뷰티밀크,03,"G1201,S120907,S128302",beauty milks
뷰티세럼,03,"G1201,S120907,S128302",beauty serums
미용용 겔,03,"G1201,S120907,S128302",beauty waters in the form of gell
괄사용 바디오일,03,"G1201,S120907,S128302",body oils for guasha
브론저,03,"G1201,S120907,S128302",bronzers
씨씨크림,03,"G1201,S120907,S128302",CC creams
화장용 클렌징 크림,03,"G1201,S120907,S128302",cleansing cream for cosmetic purposes
클렌징밀크,03,"G1201,S120907,S128302",cleansing milk
화장용 클렌징 유액,03,"G1201,S120907,S128302",cleansing milk for toilet purposes
콜드크림,03,"G1201,S120907,S128302",cold cream
화장용 콜드크림,03,"G1201,S120907,S128302",cold creams for cosmetic purposes
화장용 착색제,03,"G1201,S120907,S128302",colorants for toilet purposes
화장용 크림,03,"G1201,S120907,S128302",cosmetic creams
페이스/핸드 및 바디케어용 화장크림 및 겔,03,"G1201,S120907,S128302","cosmetic creams and gels for the face, hands and body"
화장용 크림 및 로션,03,"G1201,S120907,S128302",cosmetic creams and lotions
페이스 및 바디케어용 화장크림 및 로션,03,"G1201,S120907,S128302",cosmetic creams and lotions for face and body care
눈 주위 피부 탄력용 화장크림,03,"G1201,S120907,S128302",cosmetic creams for firming skin around eyes
스킨케어용 화장크림,03,"G1201,S120907,S128302",cosmetic creams for skin care
피부용 화장크림,03,"G1201,S120907,S128302",cosmetic creams for the skin
화장용 염료,03,"G1201,S120907,S128302",cosmetic dyes
화장용 페이셜케어제,03,"G1201,S120907,S128302",cosmetic facial care preparations
화장용 페이셜 모이스처라이저,03,"G1201,S120907,S128302",cosmetic facial moisturizers
화장용 페이셜제,03,"G1201,S120907,S128302",cosmetic facial preparations
화장용 페이셜 토너,03,"G1201,S120907,S128302",cosmetic facial toners
화장용 핸드크림,03,"G1201,S120907,S128302",cosmetic hand creams
화장용 입술보호제,03,"G1201,S120907,S128302",cosmetic lip care preparations
화장용 마사지 크림,03,"G1201,S120907,S128302",cosmetic massage creams
화장용 나리싱크림,03,"G1201,S120907,S128302",cosmetic nourishing creams
피부용 화장오일,03,"G1201,S120907,S128302",cosmetic oils for the epidermis
스킨용 화장오일,03,"G1201,S120907,S128302",cosmetic oils for the skin
스킨케어용 화장품,03,"G1201,S120907,S128302",cosmetic preparations for skin care
스킨케어 및 스킨트리트먼트용 화장품,03,"G1201,S120907,S128302",cosmetic preparations for skin care and skin treatment
면도용 무스,03,"G1201,S120907,S128302",shaving mousse
눈주름제거용 크림,03,"G1201,S120907,S128302",eye wrinkle removing creams
페이스 및 바디용 미용크림,03,"G1201,S120907,S128302",face and body beauty creams
페이스 및 바디크림,03,"G1201,S120907,S128302",face and body creams
페이스 및 바디로션,03,"G1201,S120907,S128302",face and body lotions
페이스 및 바디밀크,03,"G1201,S120907,S128302",face and body milk
화장용 페이스크림,03,"G1201,S120907,S128302",face creams for cosmetic use
페이스 밀크 및 로션,03,"G1201,S120907,S128302",face milk and lotions
페이스 오일,03,"G1201,S120907,S128302",face oils
페이셜 클렌징 그레인,03,"G1201,S120907,S128302",facial cleansing grains
페이셜 클렌징밀크,03,"G1201,S120907,S128302",facial cleansing milk
페이셜 크림,03,"G1201,S120907,S128302",facial cream
얼굴용 에센스,03,"G1201,S120907,S128302",facial essences
페이셜 로션,03,"G1201,S120907,S128302",facial lotions
볼터치,03,"G1201,S120907,S128302",blush
두피보호로션(비의료용),03,"G1201,S120907,S128302",scalp protective lotions(not for medical use)
두피촉진영양제(비의료용),03,"G1201,S120907,S128302",scalp stimulating preparations(not for medical use)
스틱 포마드,03,"G1201,S120907,S128302",stick pomade
스타일링 겔,03,"G1201,S120907,S128302",styling gels
스타일링무스,03,"G1201,S120907,S128302",styling mousse
헤어 스타일링 페이스트,03,"G1201,S120907,S128302",styling paste for hair
